Orden,Club,Division,Total,Media,IbM1,IbM2,Lo1,Lo2,CC1,CC2,Ca1,Ca2,CEOL,CEOS,CEOM,IbF1,IbF2,5So1,5So2,5So3,5So4,Ma1,Ma2,Cu1,Cu2,Gr1,Gr2,Av1,Av2
5,AROMON,1,10519.52,438.31,799.2,1037.86,0,0,0,0,251.45,218.67,402.8,,421.57,486.81,587.53,987.39,907.94,993.13,898.38,269.2,382.36,455.07,494.09,0,0,460.66,465.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ORCA,1,10236.57,426.52,883.06,932.31,0,0,189.54,153.57,0,0,963.71,,961.07,360.33,317.49,775.67,801.91,668.85,604.82,80,72.25,544.36,578.94,0,0,681.33,667.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MURCIA-O,1,9557.96,398.25,149.51,142.01,889.85,826.14,763.89,800.08,237.61,217.81,569.25,,560.23,83.27,73.34,338.64,251.84,394.65,317.01,136.34,173.22,566.92,585.79,491.15,485.47,241.94,262
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CEAM IBI-O,1,9521.94,396.75,0,0,596.52,545.88,660.06,581.01,100,100,331.47,,374.03,0,0,542.56,596.98,226.82,245.96,457.94,439.5,671.61,685.93,675.48,629.19,603.7,457.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,COLMENAR,1,9123.41,380.14,385.78,387.82,163.68,164.94,99.59,84.62,166.15,163.46,711.64,,767.97,314.98,286.47,627.11,669.91,589.49,563.07,214.2,316.69,475.49,419.77,318.04,334.65,445.07,452.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MONTE EL PARDO,1,8573.19,357.22,697.44,765.03,413.65,464.37,214.64,237.71,0,0,445.05,,574.66,150.86,153.31,434.26,473.01,472.48,443.96,156.74,177.54,632.68,537.03,178.37,170.2,400.32,379.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TJALVE,1,8140.22,339.18,727.76,693.6,0,0,0,0,170.36,159.4,692.05,,691.41,349.43,334.89,660.76,667.15,518.17,287.35,61.43,68.05,591.76,506.08,0,0,473.96,486.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MONTELLANO,1,7887.27,328.64,279.83,275.86,196.68,259.23,264.99,277.42,832.79,419.71,206.98,,72,0,0,205.89,250.57,266.96,242.95,635.66,623.77,358.3,325.95,591.67,624.61,329.17,346.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,O-SAN ROQUE,1,7474.81,311.45,360.52,380.44,365.25,308.98,267.94,244.99,474.18,417.71,265.02,,265.93,212,77.78,342.52,344.71,374.67,332.56,212.6,208.61,423.35,412.89,408.75,404.89,183.49,185.03
