Orden,Club,Division,Total,Media,CB1,CB2,Ca1,Ca2,J1,J2,CC1,CC2,CEOL,CEOS,CEOM,Por1,Por2,Mo1,Mo2,Pa1,Pa2,S1,S2,Ib1,Ib2,Bi1,Bi2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CEAM IBI-O,3,5232.59,237.85,299.32,0,229.14,305.61,295.71,291.74,340.45,312.71,271.54,,235.03,285.6,244.56,0,0,273.05,331.57,123.44,139.49,303.92,304.68,323.73,321.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,POSEIDÓN,3,5152.9,234.22,301.37,0,382.64,459.52,314.83,356.45,250.68,222.95,334.55,,486.93,0,0,482.29,467.39,0,0,100,100,424.58,468.72,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,VERD3,3,4852.39,220.56,377.06,0,264.36,297.09,331.87,299.54,415.71,413.91,332.2,,417.17,91.26,245,95.41,81.88,249.06,173.6,245.37,177.68,168.03,176.19,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AROMON,3,4815.29,218.88,0,0,183.95,247.07,0,0,0,0,843.66,,785.34,196.88,198.3,175.84,163.01,0,0,312.45,284.7,549.8,591.75,155.62,126.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,COTA,3,4700.61,213.66,185.73,0,0,0,318.97,294.84,310.56,303.47,306.02,,286.42,340.28,312.15,142.01,146.94,82.92,169.34,226.01,297.26,249.32,259.11,240.8,228.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ELERUT,3,4492.4,204.2,535.04,10,141.96,134.62,312.5,272.12,245.54,71.1,349.85,,414.46,0,0,0,0,106.08,110.44,323.6,331.27,507.03,503.48,53.32,69.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PILOÑA DEPORTE,3,4118.58,187.21,0,0,0,0,0,0,0,0,829.81,,808.79,0,0,0,0,424.03,325.15,330.05,287.82,291.98,455.87,169.42,195.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CORZO,3,3983.26,181.06,45.29,0,0,0,63.43,61.98,0,0,274.21,,267.94,295.79,334.07,138.85,152.92,341.76,276.96,219.21,254.54,197.61,336.63,363.11,358.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ESCONDITE-M,3,3922.52,178.3,349.2,0,204.67,246.59,248.47,273.45,232.38,208.95,301.14,,338.94,102,102,138.64,77.42,69.9,70.97,251.14,154.74,309.7,242.22,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CDNAVARRA,3,3718.23,169.01,0,0,0,0,0,0,0,0,299.75,,320.31,0,0,0,0,505.2,570.22,223.85,287,0,0,786.91,724.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,T TRÁGAME,3,3327.97,151.27,192.96,10,0,0,174.75,181.85,175.93,170.31,221.83,,264.07,104.68,202.38,0,0,189.37,178.1,327.15,329.3,163.33,163.57,168.39,110
,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MONTELLANO,3,3128,140.9,0,0,554.19,464.16,503.11,445.62,0,0,407.26,,443.68,0,0,Or,Or,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,RIOJA-O,3,3120.23,141.83,75.36,0,0,0,0,0,86.54,71.06,365.23,,396.35,186.94,303.11,0,0,0,0,422.97,377.44,89.37,70.93,256.1,418.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,COMCU,3,3009.27,136.79,214.27,0,0,0,210.69,210.2,88.84,90,315.95,,324.94,64.88,69.61,85.24,95.93,90.97,83.37,88.45,81.32,239.26,281.71,190.02,183.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,NORDESTE,3,3004.32,136.56,0,0,0,0,0,0,0,0,298.38,,367.47,0,0,0,0,347.47,387.03,370.22,329.7,146.95,159.77,236.47,360.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PEÑA GUARA,3,2757.75,125.35,267.96,0,0,0,255.98,248.87,165.5,182.54,125.75,,381.93,0,0,0,0,240.29,213.1,154.52,240.76,62.88,10,74.57,133.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ASTUR EXTR,3,2604.26,118.38,0,0,0,0,0,0,0,0,549.8,,466.97,0,0,0,0,68.72,70.5,278.42,257.53,223.29,238.65,213.18,237.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ENTREBALIZAS,3,2568.92,116.77,192.03,0,70.85,47.84,241.96,240.25,218.94,240.85,64,,65.98,64.55,92.27,0,0,0,0,135.22,175.18,294.64,282.21,20,122.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CRON,3,2291.84,104.17,0,0,0,0,0,0,0,0,430.76,,233.79,0,0,0,0,251.94,267.01,329.92,277.64,0,0,167.96,332.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,YECLA,3,2088.42,94.93,141.8,0,134.65,130.4,150.14,142.58,89.08,183.2,146.22,,146.64,0,0,0,0,155.94,74.8,155.41,129.58,176.81,131.17,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ZAMORA-O,3,1982.35,90.11,0,0,0,0,0,0,122.93,129.96,365.63,,207.09,0,0,205.08,202.91,0,0,333.86,269.36,69.78,75.75,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ADYRON,3,1873.89,85.18,108.5,10,102,71.75,83.6,10,177.94,73.58,219.22,,162.35,81.36,94.21,74.28,64.18,84.91,74.11,0,0,183.02,198.88,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,NAVALENO-O,3,1864.94,84.01,124.5,20,127.5,127.5,125,108.71,99.94,117.3,222.84,,303.69,123.95,90.59,0,0,0,0,Or,Or,0,0,10,78.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,WAKHÁN,3,1828.37,83.11,0,0,0,0,0,0,0,0,348.61,,289.91,0,0,0,0,100,90.54,144.51,108,181.08,195.99,191.71,178.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ORIENTIJOTE,3,1695.55,77.07,93.2,0,0,0,115.99,0,58.34,134.97,163.47,,148.86,0,0,115.9,126.91,0,0,119.22,125.51,259.2,233.98,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,USC,3,1663.38,75.61,0,0,0,0,0,0,0,0,225.64,,263.63,134.41,119.65,0,0,0,0,152.36,160.77,292.88,314.04,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,FLUVIAL LUGO,3,1520.35,69.11,0,0,0,0,0,0,0,0,778.94,,741.41,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,UPC,3,1457.98,66.27,0,0,0,0,0,0,0,0,355.08,,378.49,0,0,0,0,0,0,345.91,378.5,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,C.O.GUADALAJARA,3,1439.44,65.43,105.05,0,0,0,0,0,0,0,243.97,,265.9,0,0,0,0,0,0,161.92,196.4,176.72,289.48,0,0
